
Insertion Sort,7,4094,105017
Selection Sort,7,8128,138548
Shell Sort,7,1359,43937
Insertion Sort,8,16427,131783
Selection Sort,8,32640,116916
Shell Sort,8,3599,114840
Insertion Sort,9,65808,205848
Selection Sort,9,130816,262480
Shell Sort,9,9666,93097
Insertion Sort,10,262842,504204
Selection Sort,10,523776,795872
Shell Sort,10,26528,212089
Insertion Sort,11,1052533,415219
Selection Sort,11,2096128,1759828
Shell Sort,11,70246,227531
Insertion Sort,12,4176108,1597042
Selection Sort,12,8386560,6498980
Shell Sort,12,166689,467911
Insertion Sort,13,16802616,6208762
Selection Sort,13,33550336,26107487
Shell Sort,13,462253,1201770
Insertion Sort,14,66994221,25771861
Selection Sort,14,134209536,102048991
Shell Sort,14,1397919,3243901
Insertion Sort,15,268803979,104325041
Selection Sort,15,536854528,395875061
Shell Sort,15,3466021,7716971
Insertion Sort,16,1074022546,455129037
Selection Sort,16,2147450880,1700044393
Shell Sort,16,10162418,21162905
Insertion Sort,17,217156,1742232767
Selection Sort,17,-65536,6680996492
Shell Sort,17,25909697,52086357
